#=============================================================================#
#            dieharder version 3.31.1 Copyright 2003 Robert G. Brown          #
#=============================================================================#
   rng_name    |rands/second|   Seed   |
stdin_input_raw|  3.87e+06  |2875296879|
#=============================================================================#
        test_name   |ntup| tsamples |psamples|  p-value |Assessment
      rgb_lagged_sum|  20|   1000000|     100|0.88634633|  PASSED  
      rgb_lagged_sum|  21|   1000000|     100|0.93271867|  PASSED  
      rgb_lagged_sum|  22|   1000000|     100|0.41444784|  PASSED  
      rgb_lagged_sum|  23|   1000000|     100|0.44535244|  PASSED  
      rgb_lagged_sum|  24|   1000000|     100|0.14592046|  PASSED  
      rgb_lagged_sum|  25|   1000000|     100|0.48511536|  PASSED  
      rgb_lagged_sum|  26|   1000000|     100|0.62330521|  PASSED  
      rgb_lagged_sum|  27|   1000000|     100|0.16238589|  PASSED  
      rgb_lagged_sum|  28|   1000000|     100|0.30098449|  PASSED  
      rgb_lagged_sum|  29|   1000000|     100|0.10922088|  PASSED  
      rgb_lagged_sum|  30|   1000000|     100|0.88308575|  PASSED  
      rgb_lagged_sum|  31|   1000000|     100|0.58923688|  PASSED  
      rgb_lagged_sum|  32|   1000000|     100|0.49049709|  PASSED  
     rgb_kstest_test|   0|     10000|    1000|0.88935202|  PASSED  
     dab_bytedistrib|   0|  51200000|       1|0.45237066|  PASSED  
             dab_dct| 256|     50000|       1|0.17268212|  PASSED  
Preparing to run test 207.  ntuple = 0
        dab_filltree|  32|  15000000|       1|0.61833562|  PASSED  
        dab_filltree|  32|  15000000|       1|0.35890109|  PASSED  
Preparing to run test 208.  ntuple = 0
       dab_filltree2|   0|   5000000|       1|0.47843140|  PASSED  
       dab_filltree2|   1|   5000000|       1|0.00375518|   WEAK   
Preparing to run test 209.  ntuple = 0
        dab_monobit2|  12|  65000000|       1|1.00000000|  FAILED  
