#=============================================================================#
#            dieharder version 3.31.1 Copyright 2003 Robert G. Brown          #
#=============================================================================#
   rng_name    |rands/second|   Seed   |
stdin_input_raw|  4.72e+06  |1849456596|
#=============================================================================#
        test_name   |ntup| tsamples |psamples|  p-value |Assessment
      rgb_lagged_sum|  20|   1000000|     100|0.51644116|  PASSED  
      rgb_lagged_sum|  21|   1000000|     100|0.55325948|  PASSED  
      rgb_lagged_sum|  22|   1000000|     100|0.09677768|  PASSED  
      rgb_lagged_sum|  23|   1000000|     100|0.36339308|  PASSED  
      rgb_lagged_sum|  24|   1000000|     100|0.34768423|  PASSED  
      rgb_lagged_sum|  25|   1000000|     100|0.04382411|  PASSED  
      rgb_lagged_sum|  26|   1000000|     100|0.32466824|  PASSED  
      rgb_lagged_sum|  27|   1000000|     100|0.78267299|  PASSED  
      rgb_lagged_sum|  28|   1000000|     100|0.47977647|  PASSED  
      rgb_lagged_sum|  29|   1000000|     100|0.26424475|  PASSED  
      rgb_lagged_sum|  30|   1000000|     100|0.54452953|  PASSED  
      rgb_lagged_sum|  31|   1000000|     100|0.95290537|  PASSED  
      rgb_lagged_sum|  32|   1000000|     100|0.97935433|  PASSED  
     rgb_kstest_test|   0|     10000|    1000|0.97637188|  PASSED  
     dab_bytedistrib|   0|  51200000|       1|0.10923532|  PASSED  
             dab_dct| 256|     50000|       1|0.37281300|  PASSED  
Preparing to run test 207.  ntuple = 0
        dab_filltree|  32|  15000000|       1|0.51224222|  PASSED  
        dab_filltree|  32|  15000000|       1|0.12953577|  PASSED  
Preparing to run test 208.  ntuple = 0
       dab_filltree2|   0|   5000000|       1|0.83747352|  PASSED  
       dab_filltree2|   1|   5000000|       1|0.71849211|  PASSED  
Preparing to run test 209.  ntuple = 0
        dab_monobit2|  12|  65000000|       1|0.91793034|  PASSED  
