#=============================================================================#
#            dieharder version 3.31.1 Copyright 2003 Robert G. Brown          #
#=============================================================================#
   rng_name    |rands/second|   Seed   |
stdin_input_raw|  1.49e+07  |1277194895|
#=============================================================================#
        test_name   |ntup| tsamples |psamples|  p-value |Assessment
      rgb_lagged_sum|  20|   1000000|     100|0.45199782|  PASSED  
      rgb_lagged_sum|  21|   1000000|     100|0.93648501|  PASSED  
      rgb_lagged_sum|  22|   1000000|     100|0.03940443|  PASSED  
      rgb_lagged_sum|  23|   1000000|     100|0.85324144|  PASSED  
      rgb_lagged_sum|  24|   1000000|     100|0.66234299|  PASSED  
      rgb_lagged_sum|  25|   1000000|     100|0.97755092|  PASSED  
      rgb_lagged_sum|  26|   1000000|     100|0.41431428|  PASSED  
      rgb_lagged_sum|  27|   1000000|     100|0.87021566|  PASSED  
      rgb_lagged_sum|  28|   1000000|     100|0.71383326|  PASSED  
      rgb_lagged_sum|  29|   1000000|     100|0.16112287|  PASSED  
      rgb_lagged_sum|  30|   1000000|     100|0.06858587|  PASSED  
      rgb_lagged_sum|  31|   1000000|     100|0.75772132|  PASSED  
      rgb_lagged_sum|  32|   1000000|     100|0.80695350|  PASSED  
     rgb_kstest_test|   0|     10000|    1000|0.08086246|  PASSED  
     dab_bytedistrib|   0|  51200000|       1|0.13583533|  PASSED  
             dab_dct| 256|     50000|       1|0.00155580|   WEAK   
Preparing to run test 207.  ntuple = 0
        dab_filltree|  32|  15000000|       1|0.24652382|  PASSED  
        dab_filltree|  32|  15000000|       1|0.61003691|  PASSED  
Preparing to run test 208.  ntuple = 0
       dab_filltree2|   0|   5000000|       1|0.28992440|  PASSED  
       dab_filltree2|   1|   5000000|       1|0.00000018|  FAILED  
Preparing to run test 209.  ntuple = 0
        dab_monobit2|  12|  65000000|       1|0.99983777|   WEAK   
