#=============================================================================#
#            dieharder version 3.31.1 Copyright 2003 Robert G. Brown          #
#=============================================================================#
   rng_name    |rands/second|   Seed   |
stdin_input_raw|  7.40e+06  | 735961333|
#=============================================================================#
        test_name   |ntup| tsamples |psamples|  p-value |Assessment
      rgb_lagged_sum|  20|   1000000|     100|0.80140920|  PASSED  
      rgb_lagged_sum|  21|   1000000|     100|0.79660353|  PASSED  
      rgb_lagged_sum|  22|   1000000|     100|0.80802674|  PASSED  
      rgb_lagged_sum|  23|   1000000|     100|0.97051405|  PASSED  
      rgb_lagged_sum|  24|   1000000|     100|0.66187747|  PASSED  
      rgb_lagged_sum|  25|   1000000|     100|0.98138469|  PASSED  
      rgb_lagged_sum|  26|   1000000|     100|0.95146257|  PASSED  
      rgb_lagged_sum|  27|   1000000|     100|0.76485447|  PASSED  
      rgb_lagged_sum|  28|   1000000|     100|0.78469076|  PASSED  
      rgb_lagged_sum|  29|   1000000|     100|0.09907575|  PASSED  
      rgb_lagged_sum|  30|   1000000|     100|0.99986013|   WEAK   
      rgb_lagged_sum|  31|   1000000|     100|0.42714695|  PASSED  
      rgb_lagged_sum|  32|   1000000|     100|0.41236342|  PASSED  
     rgb_kstest_test|   0|     10000|    1000|0.22735974|  PASSED  
     dab_bytedistrib|   0|  51200000|       1|0.46616122|  PASSED  
             dab_dct| 256|     50000|       1|0.62161107|  PASSED  
Preparing to run test 207.  ntuple = 0
        dab_filltree|  32|  15000000|       1|0.84981005|  PASSED  
        dab_filltree|  32|  15000000|       1|0.38176078|  PASSED  
Preparing to run test 208.  ntuple = 0
       dab_filltree2|   0|   5000000|       1|0.57410500|  PASSED  
       dab_filltree2|   1|   5000000|       1|0.94515371|  PASSED  
Preparing to run test 209.  ntuple = 0
        dab_monobit2|  12|  65000000|       1|0.92304452|  PASSED  
